18.6 1.58
18.6 1.58
18.6 1.58
18.6 1.58
19.2 1.66
21.9 1.96
21.9 1.96
21.9 1.96
21.9 1.96
21.9 1.96
24.8 2.34
24.8 2.34
24.8 2.34
24.8 2.34
24.8 2.34
27.4 2.71
28.4 2.87
28.4 2.87
29.3 3.02
29.3 3.02
33.3 3.70
33.3 3.70
33.3 3.70
34.5 3.92
34.5 3.92
39.3 4.90
39.7 4.98
41.0 5.28
42.0 5.51
42.6 5.66
48.2 7.09
48.2 7.09
49.8 7.54
50.3 7.69
51.5 8.07
55.4 9.43
56.5 9.80
58.0 10.41
60.3 11.39
60.6 11.54
66.1 14.33
68.2 15.54
71.8 17.87
75.7 20.66
79.2 23.68
84.1 28.66
88.5 34.31
92.8 41.70
96.2 50.38
100.0 69.91
