14.6 1.63
14.6 1.63
14.6 1.63
14.9 1.67
14.9 1.67
15.6 1.76
15.8 1.78
16.0 1.82
16.0 1.82
16.2 1.84
18.1 2.14
18.1 2.14
18.5 2.20
18.7 2.24
19.0 2.29
20.5 2.54
20.7 2.58
21.4 2.71
21.7 2.77
21.9 2.80
26.4 3.73
26.5 3.75
27.1 3.88
28.0 4.07
28.4 4.17
32.1 5.08
32.2 5.11
33.1 5.34
34.0 5.61
34.6 5.78
41.4 7.84
42.0 8.05
42.9 8.37
43.7 8.64
44.5 8.94
50.0 11.18
51.1 11.67
52.5 12.35
55.3 13.75
57.2 14.85
64.8 19.49
67.7 21.44
71.3 24.21
75.4 27.75
79.7 32.18
85.9 39.74
89.9 45.86
93.9 54.04
96.9 63.21
100.0 82.31
