13.7 1.14
13.7 1.14
13.7 1.14
13.7 1.14
13.7 1.14
14.3 1.20
14.9 1.26
14.9 1.26
14.9 1.26
14.9 1.26
15.4 1.32
15.4 1.32
15.9 1.38
16.4 1.44
16.9 1.50
16.9 1.50
16.9 1.50
16.9 1.50
17.3 1.56
17.3 1.56
20.4 2.04
20.4 2.04
21.2 2.16
22.6 2.40
22.9 2.46
25.6 2.94
25.6 2.94
26.2 3.06
27.0 3.24
28.1 3.48
33.1 4.62
33.1 4.62
34.1 4.86
35.0 5.10
35.8 5.34
41.3 7.01
43.2 7.61
44.5 8.09
48.0 9.41
49.9 10.19
56.2 13.07
59.8 14.93
63.5 17.03
68.0 19.96
72.9 23.68
80.1 30.22
85.5 36.39
90.9 44.72
95.6 55.46
100.0 75.36
