1.7 0.17
1.8 0.19
2.4 0.26
2.7 0.30
3.2 0.37
4.2 0.51
5.5 0.69
6.6 0.84
8.8 1.16
11.1 1.50
13.0 1.80
14.8 2.08
17.5 2.51
20.1 2.94
21.9 3.24
24.0 3.62
26.2 4.01
28.8 4.49
30.6 4.83
33.2 5.34
36.1 5.94
38.1 6.35
40.7 6.93
43.2 7.50
45.6 8.05
47.9 8.62
50.3 9.23
53.0 9.94
55.7 10.71
58.1 11.40
60.6 12.16
63.0 12.94
65.4 13.74
67.8 14.63
70.3 15.55
72.7 16.55
75.2 17.62
77.3 18.61
79.4 19.72
81.7 20.95
83.6 22.13
85.5 23.46
87.7 25.14
89.8 26.91
91.6 28.80
93.6 31.17
95.2 33.70
97.0 37.43
98.7 42.43
100.0 50.50
